"scenario","method","log_BF","effect_size","sample_size"
"1","JZS",-0.636674878348911,"0.0","50"
"1","BFGC",-0.666039912069265,"0.0","50"
"1","JZS",0.43687260810338,"0.0","50"
"1","BFGC",0.444619702141871,"0.0","50"
"1","JZS",-0.674800293976956,"0.0","50"
"1","BFGC",-0.706104290217617,"0.0","50"
"2","JZS",-0.628625025260242,"0.0","50"
"2","BFGC",-0.652371464668335,"0.0","50"
"3","JZS",-0.668538384371091,"0.0","50"
"3","BFGC",-0.699397868906016,"0.0","50"
"3","JZS",-0.656793952551575,"0.0","50"
"3","BFGC",-0.687171432303638,"0.0","50"
"3","JZS",-0.605468647800803,"0.0","50"
"3","BFGC",-0.63341661959906,"0.0","50"
"3","JZS",-0.431045896589242,"0.0","50"
"3","BFGC",-0.450101353747782,"0.0","50"
"3","JZS",-0.619788508393347,"0.0","50"
"3","BFGC",-0.648432332023339,"0.0","50"
"3","JZS",-0.482487148808417,"0.0","50"
"3","BFGC",-0.503360973625884,"0.0","50"
"3","JZS",-0.616433235109115,"0.0","50"
"3","BFGC",-0.644813069830495,"0.0","50"
"3","JZS",-0.483244472666474,"0.0","50"
"3","BFGC",-0.505517622017143,"0.0","50"
"3","JZS",-0.612831163129143,"0.0","50"
"3","BFGC",-0.640733161299044,"0.0","50"
"1","JZS",-0.523179458050769,"0.0","50"
"1","BFGC",-0.54739274149726,"0.0","50"
"3","JZS",0.260510673233588,"0.0","50"
"3","BFGC",0.267734559836466,"0.0","50"
"3","JZS",-0.480291624081151,"0.0","50"
"3","BFGC",-0.500920554092819,"0.0","50"
"3","JZS",0.683780851105944,"0.0","50"
"3","BFGC",0.696279670440902,"0.0","50"
"3","JZS",-0.62764064481548,"0.0","50"
"3","BFGC",-0.656410108546505,"0.0","50"
"3","JZS",-0.641753695441388,"0.0","50"
"3","BFGC",-0.671160728507716,"0.0","50"
"3","JZS",-0.506167838035634,"0.0","50"
"3","BFGC",-0.527669122366266,"0.0","50"
"3","JZS",-0.493467918192796,"0.0","50"
"3","BFGC",-0.515053647452491,"0.0","50"
"3","JZS",-0.673728770559176,"0.0","50"
"3","BFGC",-0.704960728872527,"0.0","50"
"3","JZS",-0.608879600159037,"0.0","50"
"3","BFGC",-0.637038522529121,"0.0","50"
"3","JZS",-0.0555709197018373,"0.0","50"
"3","BFGC",-0.0614139718752788,"0.0","50"
"1","JZS",-0.315259248308651,"0.0","50"
"1","BFGC",-0.330378205359626,"0.0","50"
"3","JZS",-0.415019620578185,"0.0","50"
"3","BFGC",-0.433517867294603,"0.0","50"
"3","JZS",-0.424828578585798,"0.0","50"
"3","BFGC",-0.443000268830688,"0.0","50"
"3","JZS",-0.178339275004447,"0.0","50"
"3","BFGC",-0.185877773407506,"0.0","50"
"3","JZS",-0.674695637237314,"0.0","50"
"3","BFGC",-0.705981808758938,"0.0","50"
"3","JZS",-0.632317831949848,"0.0","50"
"3","BFGC",-0.661203504881617,"0.0","50"
"3","JZS",-0.675715581413348,"0.0","50"
"3","BFGC",-0.707065106813278,"0.0","50"
"3","JZS",-0.629548309587205,"0.0","50"
"3","BFGC",-0.658409240954702,"0.0","50"
"3","JZS",-0.537743179274778,"0.0","50"
"3","BFGC",-0.562094008864308,"0.0","50"
"3","JZS",-0.663911847553167,"0.0","50"
"3","BFGC",-0.694574113634083,"0.0","50"
"3","JZS",-0.545805731358636,"0.0","50"
"3","BFGC",-0.570420280464639,"0.0","50"
"1","JZS",-0.662832541125944,"0.0","50"
"1","BFGC",-0.693552767738585,"0.0","50"
"3","JZS",-0.610276890834299,"0.0","50"
"3","BFGC",-0.636938156427148,"0.0","50"
"3","JZS",-0.588191414049718,"0.0","50"
"3","BFGC",-0.614279823962382,"0.0","50"
"3","JZS",-0.47974873937998,"0.0","50"
"3","BFGC",-0.501357865272922,"0.0","50"
"3","JZS",-0.157255716875123,"0.0","50"
"3","BFGC",-0.165593581247199,"0.0","50"
"3","JZS",-0.671208215394604,"0.0","50"
"3","BFGC",-0.702325241925569,"0.0","50"
"3","JZS",0.145934359586002,"0.0","50"
"3","BFGC",0.146267790525109,"0.0","50"
"3","JZS",-0.56404488944147,"0.0","50"
"3","BFGC",-0.589237630664646,"0.0","50"
"3","JZS",-0.500425387399119,"0.0","50"
"3","BFGC",-0.523636899553777,"0.0","50"
"3","JZS",-0.664749600449121,"0.0","50"
"3","BFGC",-0.695467477551907,"0.0","50"
"3","JZS",-0.316169504136277,"0.0","50"
"3","BFGC",-0.328575093534285,"0.0","50"
"1","JZS",-0.362046311993459,"0.0","50"
"1","BFGC",-0.378817233075387,"0.0","50"
"3","JZS",-0.665265369044251,"0.0","50"
"3","BFGC",-0.695979344091307,"0.0","50"
"3","JZS",0.213388265324468,"0.0","50"
"3","BFGC",0.216322836170508,"0.0","50"
