"","x"
"1",45.9642561655908
"2",45.896945980895
"3",48.0208121696769
"4",51.7437140760232
"5",54.0647431223256
"6",51.6818987315426
"7",54.5342301096841
"8",49.5362055734847
"9",51.1015835647629
"10",50.3561422016706
"11",53.0836857869612
"12",50.0878688389083
"13",49.6042252699337
"14",52.3233560304507
"15",48.4475780271016
"16",58.1510281339786
"17",53.0785206405795
"18",44.6759906962622
"19",51.8236586807041
"20",44.6246558717193
"21",57.1154072285627
"22",54.400589569976
"23",49.9111549400672
"24",54.8538626122235
"25",49.5303653737775
"26",61.2157189769714
"27",62.2776921920593
"28",60.5388735113708
"29",53.5028577313752
"30",63.5672454764044
"31",43.323589794219
"32",47.5469170322768
