"","N","JZSr707","JZSr1","BeFi","log_JZSr707","log_JZSr1","log_BeFi"
"1",50,0.347088573828141,0.263741987365589,0.247981428865572,-0.459559683087639,-0.57882072561186,-0.605580841928625
"2",60,0.337621198919392,0.255308797712776,0.238651879210367,-0.471570292245814,-0.592934219538559,-0.622235141530381
"3",70,0.331890963274604,0.250060073139777,0.232730247173902,-0.479004572398274,-0.601955646131685,-0.633147169239918
"4",80,0.32887211086211,0.247078995263195,0.229182944635899,-0.482972954161746,-0.607164173371811,-0.63981770488143
"5",90,0.327927638997772,0.245805387856211,0.227391065585592,-0.484221977785181,-0.609408601959829,-0.64322660316237
"6",100,0.328640687158321,0.245877267498734,0.226960841484799,-0.483278670010898,-0.609281621957621,-0.644049067009846
"7",110,0.330727706862499,0.247050797072656,0.227630176758648,-0.480529420346509,-0.607213740585746,-0.642770164372642
"8",120,0.333990267418951,0.249156566121951,0.22921860754544,-0.476266188481336,-0.60352766320713,-0.639750130045439
"9",130,0.338286684559611,0.252074204047324,0.231598724741764,-0.470715096318119,-0.598471595470374,-0.635263836305308
"10",140,0.343514505571842,0.25571689168532,0.234678984405675,-0.464054919283331,-0.592240583184357,-0.629525799899909
"11",150,0.349599264513687,0.2600215189675,0.238392916361757,-0.456429489704635,-0.584990709021033,-0.622706653423019
"12",160,0.356487022549427,0.264942213803086,0.242692103071584,-0.447956275455196,-0.576848839131506,-0.614944354892754
"13",170,0.364139279797762,0.270445962659541,0.247541471340003,-0.438732471081695,-0.567919497519275,-0.606352032021979
"14",180,0.372529422161246,0.276509573204478,0.252916052531998,-0.428839421230678,-0.558289828128155,-0.597023605195644
"15",190,0.381640189414975,0.283117522819772,0.258798703497837,-0.418345897274795,-0.548033250280157,-0.587037903680098
"16",200,0.391461839785172,0.290260406944211,0.265178472708382,-0.407310567139804,-0.537212200194317,-0.576461735031348
"17",210,0.401990800342705,0.297933803049045,0.272049409916299,-0.395783885736713,-0.5258802196959,-0.565352211755405
"18",220,0.413228662631212,0.306137428169761,0.279409687128086,-0.383809562295572,-0.514083570585937,-0.553758540980094
"19",230,0.425181428217486,0.314874507747928,0.287260942249374,-0.371425713572105,-0.501862498437938,-0.541723419321965
"20",240,0.437858938524458,0.324151299442316,0.295607784777368,-0.358665780106756,-0.48925223307852,-0.529284133060244
"21",250,0.451274441852636,0.333976731716672,0.304457421319458,-0.345559262262442,-0.476283789592819,-0.516473435310207
"22",260,0.465444265067818,0.344362129561576,0.313819371052737,-0.332132316449947,-0.462984615135798,-0.503320252330786
"23",270,0.480387565185529,0.355321006406337,0.323705249657538,-0.318408242820343,-0.44937911647161,-0.489850257412955
"24",280,0.496126143731561,0.366868907787256,0.334128606098581,-0.304407886894086,-0.435489093227991,-0.476086341066641
"25",290,0.512684310515443,0.379023295560484,0.345104800741285,-0.290149972906445,-0.421334096568987,-0.46204899921055
"26",300,0.530088786619461,0.391803464122183,0.356650916229272,-0.275651382645484,-0.406931728518674,-0.447756655947782
"27",310,0.548368639921151,0.405230483058591,0.368785694675492,-0.260927389583883,-0.392297892714043,-0.433225933724675
"28",320,0.56755524713549,0.419327161224755,0.381529496276718,-0.245991856851573,-0.377447005977085,-0.418471880841406
"29",330,0.587682277049188,0.434118027832763,0.394904275614785,-0.230857406266714,-0.362392178626355,-0.403508164146829
"30",340,0.608785693916169,0.449629329659225,0.408933572771695,-0.21553556176683,-0.347145367159406,-0.388347233121485
"31",350,0.630903775149352,0.465889039592049,0.423642517038918,-0.200036873891169,-0.331717506552604,-0.373000460300193
"32",360,0.654077145240946,0.482926877989141,0.4390578415003,-0.184371025717679,-0.316118622643711,-0.357478262013775
"33",370,0.678348819879793,0.500774342018177,0.455207907152497,-0.168546926202801,-0.300357931006464,-0.341790202669946
"34",380,0.703764263510005,0.519464745482791,0.47212273552626,-0.152572790007861,-0.284443921373069,-0.325945085194989
"35",390,0.730371455623248,0.539033265395724,0.489834049006916,-0.136456208238753,-0.268384432342002,-0.309951029783245
"36",400,0.758220967687328,0.559516996740056,0.508375318238518,-0.120204209852879,-0.252186716144928,-0.293815542722711
"37",410,0.787366048480494,0.580955013654087,0.527781816145216,-0.103823316083093,-0.235857495971475,-0.277545576760593
"38",420,0.817862719777446,0.60338843854977,0.548090678223552,-0.0873195875836081,-0.219403015543433,-0.261147584226832
"39",430,0.849769877837695,0.626860515508467,0.569340968857475,-0.0706986675989746,-0.202829084502779,-0.244627563933834
"40",440,0.88314940598095,0.651416692160571,0.591573753488791,-0.0539658188411746,-0.186141117093918,-0.227991102707343
"41",450,0.91806629290235,0.677104705772026,0.614832176542945,-0.0371259575763403,-0.169344167913221,-0.211243412269589
"42",460,0.954588761862399,0.703974677577211,0.639161545067099,-0.020183682781294,-0.152442962429301,-0.194389362085099
"43",470,0.992788406426053,0.732079211930602,0.664609418085635,-0.00314330307921943,-0.135441925166798,-0.177433508688304
"44",480,1.03274033483251,0.761473501870452,0.69122570172057,0.0139911392104274,-0.118345204858039,-0.160380121935562
"45",490,1.07452332331808,0.792215441404016,0.719062750160971,0.031215846610532,-0.101156696833013,-0.143233208560766
"46",500,1.118219977243,0.824365743466397,0.748175472598373,0.0485272467572992,-0.083880063633029,-0.125996533360193
"47",510,1.16391690459151,0.85798806726872,0.778621446274957,0.0659219758761041,-0.066518752192537,-0.108673638287266
