"","scenario","true_model","rho","sdr","delta","BF_robtt_effect","BF_bain_student","BF_bain_welch","BF_bayesfactor"
"1",1,"H0",0.890442271205193,0.350766917203995,0,0.170817516454175,0.0718876540794183,0.080714620519703,0.158899045330766
"2",3,"H0",0.850130838334625,0.419868461527311,0,0.19993495676535,0.0854380203984272,0.095957959641791,0.188310246061934
"3",3,"H1",0.824134341472626,0.461946324069247,0.8,1.20616537345472e+36,1.579866758151e+34,4.44675252255394e+39,3.6404877947832e+31
"4",3,"H1",0.901999070838698,0.329618858901346,0.8,2.2802272967865e+34,4.36044473063765e+30,3.96083224827789e+37,3.20783427931165e+28
"5",4,"H0",0.341192631338087,1.38956671409774,0,0.498823884466014,0.250631736160418,0.22361642197956,0.541989233744039
"6",4,"H0",0.195277078748607,2.03000707271708,0,0.237010991413379,0.120656308914066,0.105191032098859,0.264373292408669
"7",4,"H1",0.0156664473331667,7.92658065399285,0.8,3.570619630202e+21,9.97016971237073e+32,1.35937195121354e+24,3.43496918286992e+30
"8",4,"H1",0.0752786960919656,3.50484961019257,0.8,3.06482507905923e+26,1.48471392943283e+38,1.18263447755239e+30,8.35951334940085e+34
"9",1,"H0",0.402795765819038,1.21764023657624,0,0.0735705215209518,0.032287637519452,0.0327774446637906,0.0722723357962397
"10",1,"H1",0.472227574326966,1.05717692840956,0.8,1.59455816194611e+30,5.63187434707366e+32,3.21927801648741e+32,2.10566184361726e+30
"11",1,"H1",0.750154859131963,0.577111847948725,0.8,3.620365212702e+33,1.64391981356685e+32,4.67725955614631e+36,7.31959982274784e+29
"12",2,"H0",0.763425764081155,0.556673204265074,0,0.0930017475831046,0.0416143586398091,0.0416143586398091,0.0928054548130021
"13",2,"H0",0.868734309117636,0.388715740897316,0,0.0695956612646339,0.0317437177521534,0.0317437177521534,0.0710741193586055
"14",2,"H1",0.91949061816803,0.295903154381612,0.8,5.01441279928751e+22,3.43345467842144e+24,3.43345467842144e+24,1.4943290011026e+23
"15",2,"H1",0.811212821791323,0.482412824254794,0.8,1.0490464778833e+32,1.17672642532888e+35,1.17672642532888e+35,2.05171606184646e+32
"16",3,"H0",0.816279665724573,0.474415778257542,0,0.0838450853224001,0.0395669621104327,0.039328143854076,0.0882929239207048
